,HomePriceIndex,ConsumerPriceIndex,GDP,MedianHouseholdIncome,S&P500,DowJones,HomePriceIndex_Lag1,S&P500_Lag1,DowJones_Lag1,HomePriceIndex_Lag2,S&P500_Lag2,DowJones_Lag2,HomePriceIndex_Lag3,S&P500_Lag3,DowJones_Lag3,HomePriceIndex_RollMean3,CPI_MedianIncome,GDP_HousingStarts,SP500_MortgageRate,DowJones_MortgageRate
2008-12-15,153.618,211.398,14608.209,50300.0,868.5700073242188,8564.5302734375,153.618,879.72998046875,8629.6796875,153.618,873.5900268554688,8565.08984375,153.618,899.239990234375,8761.419921875,153.618,10633319.4,8180597.04,4751.0779400634765,46847.98059570312
2008-12-16,153.618,211.398,14608.209,50300.0,913.1799926757812,8924.1396484375,153.618,868.5700073242188,8564.5302734375,153.618,879.72998046875,8629.6796875,153.618,873.5900268554688,8565.08984375,153.618,10633319.4,8180597.04,4995.094559936523,48815.043876953125
2008-12-17,153.618,211.398,14608.209,50300.0,904.4199829101562,8824.33984375,153.618,913.1799926757812,8924.1396484375,153.618,868.5700073242188,8564.5302734375,153.618,879.72998046875,8629.6796875,153.618,10633319.4,8180597.04,4947.177306518554,48269.1389453125
2008-12-18,153.618,211.398,14608.209,50300.0,885.280029296875,8604.990234375,153.618,904.4199829101562,8824.33984375,153.618,913.1799926757812,8924.1396484375,153.618,868.5700073242188,8564.5302734375,153.618,10633319.4,8180597.04,4594.603352050782,44659.899316406256
2008-12-19,153.618,211.398,14608.209,50300.0,887.8800048828125,8579.1103515625,153.618,885.280029296875,8604.990234375,153.618,904.4199829101562,8824.33984375,153.618,913.1799926757812,8924.1396484375,153.618,10633319.4,8180597.04,4608.097225341798,44525.582724609376
2008-12-22,153.618,211.398,14608.209,50300.0,871.6300048828125,8519.6904296875,153.618,887.8800048828125,8579.1103515625,153.618,885.280029296875,8604.990234375,153.618,904.4199829101562,8824.33984375,153.618,10633319.4,8180597.04,4523.759725341797,44217.19333007813
2008-12-23,153.618,211.398,14608.209,50300.0,863.1599731445312,8419.490234375,153.618,871.6300048828125,8519.6904296875,153.618,887.8800048828125,8579.1103515625,153.618,885.280029296875,8604.990234375,153.618,10633319.4,8180597.04,4479.800260620117,43697.15431640625
2008-12-24,153.618,211.398,14608.209,50300.0,868.1500244140625,8468.48046875,153.618,863.1599731445312,8419.490234375,153.618,871.6300048828125,8519.6904296875,153.618,887.8800048828125,8579.1103515625,153.618,10633319.4,8180597.04,4462.291125488281,43527.989609375
2008-12-26,153.618,211.398,14608.209,50300.0,872.7999877929688,8515.5498046875,153.618,868.1500244140625,8468.48046875,153.618,863.1599731445312,8419.490234375,153.618,871.6300048828125,8519.6904296875,153.618,10633319.4,8180597.04,4486.191937255859,43769.92599609375
2008-12-29,153.618,211.398,14608.209,50300.0,869.4199829101562,8483.9296875,153.618,872.7999877929688,8515.5498046875,153.618,868.1500244140625,8468.48046875,153.618,863.1599731445312,8419.490234375,153.618,10633319.4,8180597.04,4468.818712158203,43607.39859375
